CNTRYID,CNT,CNTSCHID,SN,CNTSTUID,PVMATH,PVREAD,PVSCIE,PVSCEP,PVSCED,PVSCID,PVSKCO,PVSKPE,PVSSPH,PVSSLI,PVSSES,SMINS,SMINH,ESCS,IBTEACH,TEACHSUP,ENVAWARE,JOYSCIE,INTBRSCI,SCIEEFF,MOTIVAT,EPIST,ICTHOME,INTICT,COMPICT,AUTICT,INSTSCIE,TDTEACH,ADINST
158,TAP,15800017,622,15800001,400.4365,366.6236,358.2399,384.0218,320.8346,361.5493,367.345,370.3685,354.0539,344.2719,376.7309,180,3,-.474,.242,-.3068,.2175,-.6306,-.3744,.7364,-.1651,-.2394,9,.6636,-.227,.1216,1.7359,.4505,.353
158,TAP,15800113,4058,15800003,403.3232,332.2122,323.9851,364.1752,305.9699,349.4917,344.9398,346.0969,332.5981,346.4073,293.5027,0,0,-.1985,-.4397,-.2618,-1.3629,.5094, ,-.5871,-.1651,-.1933,5,-.0862,-.7638,-.8198,1.3336,.4505,.3181
158,TAP,15800186,6677,15800004,488.1337,413.7917,470.3895,501.1421,487.0367,489.3616,476.9208,479.3281,472.4105,475.6626,466.7274,100,1.66666666666667,-.1724,.9876,.0322,-.0809,-.8208,-.2593,.3028,-1.1822,1.225,4,-.6556,.5021,.9444,.3708,-.2928,.3181
158,TAP,15800038,1352,15800005,489.227,436.3779,482.1184,473.2701,457.8167,474.2295,491.6464,481.2499,452.1784,457.5769,482.5559,180,3,-.5231,-.8646,-.1164,.0194,-.3772,-.0908,.3155,.5387,-.7443,2,1.3939,1.2867,.1216,.3708,99,99
158,TAP,15800102,3651,15800008,485.298,447.6135,472.9392,442.41,448.171,460.0269,439.6848,452.8973,479.1435,434.4207,471.8908,250,4.16666666666667,-.6359,.5634,1.4475,-.8968,-.3928,.38,-.2147,.4631,-.1933,10,-.2479,.0226,-.4784,-.5375,-.2928,.6524
158,TAP,15800075,2698,15800009,388.7024,349.681,350.9426,330.1546,361.9289,321.8589,352.5389,344.9449,331.681,342.7423,342.5426,45,.75,-.8753,-1.0544,-.1164,-1.2707,-.6306,-.3744,.1258,.959,-.1933,8,-1.0046,-.3827,-1.1252,.3708,-.3693,-.3816
158,TAP,15800040,1417,15800013,448.1173,451.0633,456.463,434.6707,457.6535,476.3854,475.3399,476.0018,464.4074,469.289,478.6446,100,1.66666666666667,-.805,-1.1748,.9209,.2662,-.395,.3043,-.3848,-.4849,2.1552,8,-.0862,-.9607,-.4377,-.5375,-.6102,-1.9656
158,TAP,15800154,5588,15800019,407.1951,328.9263,364.3548,366.3542,367.0504,351.48,389.4575,357.1616,385.2655,360.9802,357.2299,100,1.66666666666667,-1.7248,-3.3405,1.4475,.0194,.5094,.2649,-1.0524,-.8771,-.1933,5,-1.8182,-2.664,-1.1252,-.7778,-.6102,-.8077
158,TAP,15800059,2102,15800026,401.593,395.9881,391.5653,383.6398,396.8578,385.0941,407.5821,408.0033,416.2462,389.3566,355.8977,0,0,-.9937, , ,.6187,-.8208,-.2865,-.215,-.8133,-.1933,9,.3464,.7162,.1216,.1955,-.6102,-.3816
158,TAP,15800156,5647,15800029,364.0197,320.364,361.8322,392.8551,375.5635,387.3607,383.2739,373.0881,412.4456,347.8566,396.976,0,0,-1.2287,-2.8611,-2.7195,.2001,.5094,-2.4981,-1.0524,-1.4159,2.1552, ,-1.3536,.0226,.1216,.3708,2.0781,1.0006
158,TAP,15800206,7397,15800030,412.0488,440.0699,394.3014,383.5486,415.5119,387.8208,379.6949,411.8863,404.1893,387.9507,398.3633,225,3.75,-1.5275,-.7112,1.4475,-.6732,-.8208,-2.4981,1.3917,.8101,-.1933,8,-1.273,-.6843,-.7496,1.7359,-.5262,-.8077
158,TAP,15800196,7036,15800036,387.3809,341.4195,357.511,371.3499,333.3243,347.8287,368.3752,338.2024,328.212,386.0938,357.4165,0,0,-.7076, , ,.0194,-.395,-2.4981,.3155,.5092,-.1933,7,-.4136,-1.1926,.1216,-.494,2.0781,1.0172
158,TAP,15800022,766,15800037,475.9439,457.619,465.9637,487.7683,505.457,466.1963,463.3618,479.2118,471.5827,479.3644,473.0827,100,1.66666666666667,.1013,-.2854,1.4475,.748,-1.2013,-1.1182,.9314,.8101,-.1933,8,2.6352,.0226,.1216,.3708,99,99
158,TAP,15800037,1301,15800039,478.3455,451.0549,467.0366,451.5361,438.7741,442.6002,457.29,457.9657,481.75,479.7912,427.3976,225,3.75,-.6483,-.1266,.5731,-.3864,-.3398,-.0908,.1258,-1.1822,.5975,7,-.2366,.0226,-1.1252,.3708,.7979,-.8348
158,TAP,15800060,2165,15800040,538.9739,486.5768,482.4274,505.6705,443.071,448.5701,513.6806,448.9067,494.5492,474.7276,459.4837,100,1.66666666666667,-1.3865,1.7469,.6426,.0194,-.8208,-.3744,.3155,-.61,-.1933,3,2.6352,-1.4609,-1.5298,1.0218,-.2928,-.3816
158,TAP,15800035,1226,15800042,386.0078,424.4072,420.0167,408.0539,389.8771,427.7674,430.6512,417.3897,399.1473,398.1425,412.7914,240,4,-1.311,-.8711,.1274,-.8434,-.8208,-.3744,.3155,-.2803,-.7428,2,-.9232,-1.0813,-.7496,.3708,-.6102,-.4011
158,TAP,15800111,4013,15800043,390.658,349.4423,398.4139,415.3055,370.4416,363.17,434.1741,387.2107,363.7229,401.8709,396.9976,225,3.75,-.9041,-.4755,-1.2362,.0194,-.1833,.5217,-1.2519,-.4849,.4692,8,.468,1.9359,2.0955,-.5375,-.3597,.6524
